idx,rx_data,rx_size,rx_offset,apb_prdata,apb_pslverr,apb_addr,apb_dir,apb_wdata,apb_waitstates,tx_data,tx_size,tx_offset
0,0xcb8293c9,2,0,0x0,1,0xb67a,R,0xa371d27a,1,0x155540386400,10
1,0x4ed1b15f,1,2,0x0,1,0xdd18,R,0xa0dfd949,1,0x155540386760,10
2,0x7200e896,2,3,0x0,1,0xf107,R,0x782350c1,1,0x155540389340,10
3,0x717df1a,4,1,0x0,1,0x687a,W,0x814bceda,1,0x15554038bbc0,10
4,0x651265e1,0,0,0x0,1,0xcf31,R,0x4383d37b,1,0x15554038e630,10
5,0x67dfb0e1,1,0,0x0,1,0x82bb,R,0x2d91169,1,0x15554038e990,10
6,0x1318de7d,3,2,0x0,1,0x1cd6,R,0xdecae948,1,0x15554038ea30,10
7,0xe51d1178,4,0,0x1f,0,0xf0,R,0x9d8d8971,1,0x155540390cc0,10
8,0xe5d25076,4,0,0x3,0,0xc,R,0x7c1f21e1,1,0x155540391020,10
9,0xdb795272,4,0,0x0,1,0x33,R,0x58e8ef98,1,0x155540391210,10
10,0xbb5f039b,3,2,0x0,1,0x9a49,W,0x547435c9,1,0x1555403912b0,10
11,0x74177700,1,3,0x0,1,0xc,W,0xdf1d3899,1,0x1555403938a0,10
12,0x1e811bc9,4,0,0x0,0,0xf0,W,0x10,1,0x155540393c00,10
13,0xbd4288b7,1,2,0x0,0,0xf0,W,0x16,1,0x155540393df0,10
14,0xbe4c3519,2,2,0x0,0,0x0,W,0xbddf5ab1,1,0x155540393e90,10
15,0x763f021c,1,1,0x0,1,0xf45c,W,0x2b86f1da,1,0x155540396480,10
16,0x969a56d0,4,0,0x201,0,0x0,R,0x9b1a2b09,1,0x1555403967e0,10
17,0x57ed1b3e,1,2,0x0,1,0x6419,R,0xa403fc21,1,0x1555403969d0,10
18,0x99d68b3c,1,1,0x0,1,0xb1cc,R,0x14d2ac8b,1,0x155540396a70,10
19,0xf1725d46,1,3,0x0,1,0xf828,R,0x3e2d7269,1,0x155540399060,10
20,0x1672c33e,2,2,0x5,0,0xf4,R,0xe5836e61,1,0x1555403993c0,10
21,0xc56caf8c,1,1,0x0,1,0x5c64,R,0x6f6b7f41,1,0x155540398cc0,10
22,0xbf44413c,2,2,0x10205,0,0xc,R,0x763b00ac,1,0x15554039a9f0,10
23,0x2bab1ac6,1,0,0x0,1,0xa93,W,0xfda20872,1,0x15554039d3e0,10
24,0x4d1569ec,1,2,0x0,1,0x605d,R,0xe10b23bc,1,0x15554039d740,10
25,0xbc959d79,2,2,0x201,0,0x0,R,0x2d567092,1,0x15554039d930,10
26,0xb0a3f497,0,3,0x5,0,0xf4,R,0x6fc5ed89,1,0x15554039d9d0,10
27,0xb10f653,4,0,0x0,1,0x5475,R,0xfc91538b,1,0x15554039f0d0,10
28,0xf3154636,3,2,0x0,1,0x7b1a,W,0xd84fe1fb,1,0x1555403a1950,10
29,0x165ee2c7,1,1,0x5,0,0xf4,R,0xd8fa31c1,1,0x1555403a1cb0,10
30,0xe29baf33,4,3,0x0,1,0xc,W,0x133beb4c,1,0x1555403a30f0,10
31,0xe2bbc48d,4,3,0x10d,0,0xc,R,0x4546a8c,1,0x1555403a5ae0,10
32,0xf1668518,2,2,0x0,1,0xc,W,0xb9b55332,1,0x1555403a5e40,10
33,0xf940b480,1,1,0x0,1,0xf1f2,R,0xc1c70eea,1,0x1555403a6030,10
34,0xdb6ba504,2,1,0x0,1,0x99ea,W,0xbcf8df91,1,0x1555403a60d0,10
35,0x6bf613f9,4,0,0x0,1,0x83a9,W,0x4cd07529,1,0x1555403a77d0,10
36,0x9f4b1427,2,2,0x16,0,0xf0,R,0xcaaca391,1,0x1555403a8d80,10
37,0xc321773b,3,0,0x0,0,0xf0,W,0xb,1,0x1555403ab130,10
